weapon_id,per_hit_resistance,beam_per_hit_resistance,adapt_chance_full,learning_multiplier
default,0.05,0.05,0.05,
,,,,
phaser_typeVIII_medium,,0.1,0.05,1.5
,,,,
phaser_typeVIII_medium,,0.1,0.05,1.5
phaser_typeVIII,,0.1,0.05,1.5
phaser_typeVIII_mega,,0.15,0.1,1.3
,,,,
phaser_typeIX_small,,0.075,0.05,1.25
phaser_typeIX_medium,,0.075,0.05,1.25
phaser_typeIX,,0.075,0.05,1.25
,,,,
phaser_typeX_auxiliaryCraft,,0.25,0.1,2
phaser_typeX_small,,0.07,0.07,1.05
phaser_typeX_medium,,0.07,0.05,1.05
phaser_typeX,,0.05,0.05,1.05
,,,,
station_phaser_typeX,,0.1,0.05,1
,,,,
phaser_typeXI,,0.05,0.05,1
,,,,
phaser_typeXII,,0.025,0.05,1.025
,,,,
pulse_phaser_typeIV,0.3,,0.1,2
pulse_phaser_typeX,0.1,,0.05,1.05
,,,,
#weapon_id,#per_hit_resistance,#beam_per_hit_resistance,#adapt_chance_full,#learning_multiplier
photonTorpedo_tmp_x1,0.45,,0.25,1.25
photonTorpedo_critical,0.05,,0.12,1.05
photonTorpedo_micro,0.3,,0.12,3
photonTorpedo_standard,0.1,,0.12,2
photonTorpedo_x1_standard_small,0.1,,0.12,2
photonTorpedo_x1_standard_medium,0.1,,0.12,2
photonTorpedo_x1_standard,0.1,,0.12,2
photonTorpedo_x2_standard_medium,0.1,,0.12,2
photonTorpedo_x2_standard,0.1,,0.12,2
photon_torpedo_type6_s,0.075,,0.12,1.5
photon_torpedo_type6,0.075,,0.12,1.5
phased_plasma_torpedo,0.025,,0.1,0.9
quantumTorpedo_standard,0.05,,0.12,1.01
quantumTorpedo_x1_standard,0.05,,0.12,1.01
,,,,
#weapon_id,#per_hit_resistance,#beam_per_hit_resistance,#adapt_chance_full,#learning_multiplier
rom_disruptor_TLE,0.085,,0.12,1.15
disruptorBeam_TLE,,0.075,0.05,1.15
,,,,
kli_disruptor_beta,0.085,,0.09,1.15
kli_disruptor_compressed_beta,0.075,,0.09,1.15
,,,,
#weapon_id,#per_hit_resistance,#beam_per_hit_resistance,#adapt_chance_full,#learning_multiplier
typeV_laser,,0.25,0.1,1.7
typeIV_laser,,0.3,0.1,1.7
,,,,
coalition_antishield,0.3,,0.25,0.9
coalition_antishieldM,0.3,,0.25,0.9
coalition_antishieldS,0.3,,0.25,0.9
,,,,
coalition_neutrino_slugS,0.2,,0.1,1.7
coalition_neutrino_slugM,0.2,,0.1,1.7
coalition_neutrino_slug,0.2,,0.1,1.7
,,,,
sniper_turret,0.25,,0.07,0.75
,,,,
neutrino_matter_launcherS,0.1,,0.2,1
neutrino_matter_launcherM,0.1,,0.2,1
neutrino_matter_launcher,0.1,,0.2,1
,,,,
exotic_particle_emitterS,0.09,,0.25,1.2
exotic_particle_emitterM,0.09,,0.25,1.2
exotic_particle_emitter,0.09,,0.25,1.2
