name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
# Add your ships here. Couple of ships left commented out as reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Ship_Data_CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Onslaught,onslaught,Battleship,Low Tech,burndrive,28,20000,1750,17000,15000,600,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,"rare_bp, merc",,,,0.4,2,4,,500
#,module_bastion_pd1,PD Bastion 1,,flarelauncher_active,1,3000,500,1250,3500,140,44,0,0,0,0,10,10,240,FRONT,,170,0.4,0.8,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,0.5,2,2,,2050
(BORG) Probe,borg_probe,Surveyor,Borg Tech,surveyor_sensors,20,11700,3000,21000,18500,170,200,,135,35,70,30,30,4000,OMNI,,360,0.8,0.8,,,250,1500,500,200,1.05,20,10,210850,9,50,420,0.3,15,10,,,,,,,,"borg_tech_bp, borg",,,,0.8,2,5,,889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(BORG) Obelisk,borg_obelisk,Destroyer,Borg Tech,,30,13000,4000,24000,18000,200,275,,120,35,50,30,30,5000,OMNI,,360,0.8,0.7,,,250,3000,650,250,1,30,10,280000,15,50,500,0.25,25,10,,,,,,,,"borg_tech_bp, borg",,,,0.6,4,10,,505
(BORG) Pyramid,borg_pyramid,Escort,Borg Tech,,40,16400,4000,20000,18000,200,310,,110,30,50,30,30,4250,OMNI,,360,0.8,0.7,,,250,2750,500,200,0.9,30,10,280000,20,50,500,0.24,25,10,,,,,,,,"borg_tech_bp, borg",,,,0.6,4,10,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(BORG) Atlas,assimilated_atlas,Superfreighter,Low Tech,flarelauncher,15,10000,1250,9800,,220,145,1,70,15,30,15,15,4250,OMNI,,270,0.7,1,,,30,550,3420,450,1.2,50,8,75000,8,20,375,0.15,15,10,,,,,,,"CIVILIAN, FREIGHTER","borg_tech_bp, borg",,,,0.7,4,6,,502
(BORG) Sphere,borg_sphere,Enforcer,Borg Tech,,75,25750,5000,30000,,220,440,3,110,30,40,25,25,8000,OMNI,,360,0.7,0.75,,,400,3000,1250,500,0.8,50,10,3250700,25,50,1200,0.2,45,10,,,,,,,,"borg_tech_bp, borg",,,,0.5,2,10,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(BORG) Diamond,borg_diamond,Assault Cruiser,Borg Tech,,100,34250,9000,35000,,700,480,2,120,30,60,30,30,10000,OMNI,,360,0.6,0.7,,,1750,8000,2200,700,0.5,50,15,25000875,25,800,2500,0.9,75,20,,,,,,,,"borg_tech_bp, borg",,,,0.5,3,6,,505
(BORG) Cube,borg_cube,Assimilation Cruiser,Borg Tech,borgTractorBeam,150,40000,7000,54000,,700,1000,4,115,30,60,25,25,15000,OMNI,,360,0.5,0.8,,,5000,10000,8000,2500,0.75,100,12,15840500,40,300,2500,1.25,80,25,,,,,,,,"borg_tech_bp, borg",,,,0.3,4,8,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(BORG) Paragon,assimilated_paragon,Assimilated Battleship,High Tech,fortressshield,30,20000,3250,25000,31250,1300,240,2,75,20,40,10,10,3750,OMNI,,360,0.7,0.65,,,250,1000,480,275,1.25,30,9,785000,10,50,750,0.25,40,20,,,,,,,,"borg_tech_bp, borg",,,,0.6,2,4,,504
#Paragon,paragon,Battleship,High Tech,fortressshield,30,18000,1500,25000,31250,1250,370,,30,15,10,5,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,500000,4,20,720,0.25,60,60,,,,,,,,"rare_bp, hist3t, merc",,,,0.6,2,4,,504
(BORG) Apogee,assimilated_apogee,Assimilated Cruiser,High Tech,flarelauncher_active,30,11500,2500,15250,12000,800,175,2,70,35,60,20,20,2250,OMNI,,360,0.7,0.65,,,100,750,400,200,1.05,30,10,200050,7,25,500,0.25,25,20,,,,,,,,"borg_tech_bp, borg",,,,0.6,2,3,,504
# Apogee,apogee,Cruiser,High Tech,flarelauncher_active,14,9000,750,12000,14000,700,140,,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,20,20,,,,,,,,"rare_bp, merc, ind",,,,0.6,2,3,,403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#STATION,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
