name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
# Add your weapons here. One left commented out as a reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Weapon_data.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Light Machine Gun,lightmg,0,,100,300,,25,,1,50,3,,,,KINETIC,3,,0,0.4,5,0.1,0,5,1,15,,600,,,10,,,PD,"pd6, kinetic3, SR, base_bp, ind",,,,Point Defense,,,,,,,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borg Plasma Beam [S],borg_plasma_small,,,10500,2000,775,325,,,50,10,3,0.1,,ENERGY,,120,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy08, assault, pd10, LR, borg",,,,Offensive,,,,,,,,,,
Borg Plasma Beam [M],borg_plasma_medium,,,13000,2000,800,375,,,50,14,3,0.1,,ENERGY,,120,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam15, energy09, assault, pd10, LR, borg",,,,Offensive,,,,,,,,,,
Borg Plasma Beam,borg_plasma_beam,,,15000,2000,880,400,,,50,20,3,0.1,,ENERGY,,120,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam16, energy10, assault, pd10, LR, borg",,,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borg Cutting Beam [S],cutting_beam_small,,,10500,2000,600,650,,,50,8,2,0.1,,ENERGY,,100,0,0.25,5,0.1,0,,,,25000,,,,,,,,"beam13, energy04, assault, LR, borg",,,,Offensive,,,,,,,,,,
Borg Cutting Beam [M],cutting_beam_medium,,,13000,2000,650,650,,,50,12,2,0.1,,ENERGY,,100,0,0.25,5,0.1,0,,,,25000,,,,,,,,"beam14, energy06, assault, LR, borg",,,,Offensive,,,,,,,,,,
Borg Cutting Beam,cutting_beam,,,15000,2000,880,650,,,50,15,2,0.1,,ENERGY,,100,0,0.25,5,0.1,0,,,,25000,,,,,,,,"beam15, energy08, assault, LR, borg",,,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME TORPEDO,#id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Borg Plasma Torpedo,borg_plasma_torpedo,,,65000,2750,,3000,,25,40,20,90,,1,HIGH_EXPLOSIVE,275,,0,30,1,0.25,0,0,,,,500,3000,10,5000,,,,"strike8, missile1, LR, borg",,,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [S],borg_photon_torpedoS,,,65000,2000,,2250,,25,40,8,50,,1,HIGH_EXPLOSIVE,275,,0,30,1,0.25,0,0,,,,500,3000,10,5000,,,,"strike8, missile1, LR, borg",,,,Offensive,,,,,,,,,,8001
Photon Torpedo [M],borg_photon_torpedoM,,,65000,2750,,2250,,25,40,10,100,,2,HIGH_EXPLOSIVE,275,,0,30,2,0.25,0,0,,,,500,3000,10,5000,,,,"strike8, missile1, LR, borg",,,,Offensive,,,,,,,,,,8001
Photon Torpedo,borg_photon_torpedo,,,65000,2750,,2250,,25,40,16,250,,3,HIGH_EXPLOSIVE,275,,0,30,3,0.25,0,0,,,,500,3000,10,5000,,,,"strike8, missile1, LR, borg",,,,Offensive,,,,,,,,,,8001
